Test_Type,Number of clauses,conflicts,decisions,Memory used,CPU time
hard_01,9656,7,26,5.19,0.003918
hard_02,9681,9,30,5.41,0.004187
hard_03,9669,40,92,5.19,0.004098
hard_04,9662,18,35,5.19,0.004082
hard_05,9647,7,24,5.19,0.003986
hard_06,9635,3,14,5.41,0.003846
hard_07,9646,9,23,5.42,0.004146
hard_08,9686,11,34,5.19,0.004096
hard_09,9646,8,19,5.53,0.003961
hard_10,9682,4,21,5.56,0.004026
hard_11,9637,15,26,5.39,0.003899
hard_12,9416,3,11,5.44,0.003835
hard_13,9456,8,22,5.19,0.003783
hard_14,9668,14,34,5.19,0.003927
hard_15,9690,3,14,5.50,0.003936
hard_16,9641,17,29,5.33,0.004116
hard_17,9451,9,18,5.58,0.003831
hard_18,9682,10,29,5.19,0.003911
hard_19,9511,8,21,5.34,0.003808
hard_20,9378,20,29,5.42,0.00379
hard_21,9703,12,37,5.19,0.003993
hard_22,9427,6,16,5.47,0.003719
hard_23,9631,11,26,5.19,0.003891
hard_24,9424,2,9,5.39,0.003748
hard_25,9399,8,16,5.19,0.003779
hard_26,9692,3,17,5.19,0.00393
hard_27,9652,5,25,5.19,0.003815
hard_28,9670,9,21,5.38,0.003848
hard_29,9447,6,14,5.19,0.003892
hard_30,9650,7,28,5.73,0.004202
hard_31,9492,22,44,5.19,0.003881
hard_32,9369,10,20,5.48,0.003939
hard_33,9428,17,30,5.46,0.003758
hard_34,9679,16,43,5.19,0.003896
hard_35,9432,17,28,5.42,0.003844
hard_36,9666,4,18,5.41,0.004073
hard_37,9685,3,14,5.36,0.003874
hard_38,9525,6,13,5.40,0.003786
hard_39,9426,8,21,5.19,0.003872
hard_40,9444,8,14,5.62,0.00399
hard_41,9659,0,6,5.58,0.004645
hard_42,9650,2,12,5.41,0.004198
hard_43,9406,1,8,5.19,0.003669
hard_44,9430,4,15,5.70,0.004236
hard_45,9393,7,18,5.46,0.003788
hard_46,9659,11,19,5.19,0.003886
hard_47,9547,25,46,5.19,0.00407
hard_48,9458,9,18,5.19,0.003868
hard_49,9685,9,28,5.19,0.003876
hard_50,9666,7,23,5.51,0.004342
hard_51,9409,0,8,5.40,0.003712
hard_52,9435,12,28,5.19,0.003872
hard_53,9387,9,13,5.64,0.004106
hard_54,9363,24,41,5.46,0.003986
hard_55,9408,2,9,5.50,0.004161
hard_56,9367,4,9,5.19,0.003769
hard_57,9494,4,10,5.33,0.00381
hard_58,9457,11,21,5.42,0.00379
hard_59,9417,6,16,5.19,0.003845
hard_60,9438,14,22,5.19,0.003845
hard_61,9451,6,28,5.19,0.003779
hard_62,9685,8,22,5.40,0.004284
hard_63,9434,7,26,5.41,0.003827
hard_64,9441,4,9,5.19,0.00382
hard_65,9516,14,25,5.38,0.003951
hard_66,9474,0,6,5.19,0.003673
hard_67,9634,27,57,5.19,0.004224
hard_68,9694,10,16,5.19,0.003951
hard_69,9397,22,25,5.23,0.003926
hard_70,9447,7,23,5.19,0.003744
hard_71,9663,5,20,5.56,0.004014
hard_72,9346,0,12,5.19,0.003644
hard_73,9651,2,14,5.19,0.003864
hard_74,9515,30,50,5.43,0.004722
hard_75,9446,13,17,5.48,0.003838
hard_76,9515,19,45,5.19,0.003921
hard_77,9413,22,40,5.19,0.003934
hard_78,9406,33,50,5.23,0.004091
hard_79,9648,7,28,5.44,0.004115
hard_80,9488,5,13,5.19,0.003809
hard_81,9450,2,4,5.19,0.003759
hard_82,9412,7,18,5.52,0.004026
hard_83,9671,11,30,5.19,0.003893
hard_84,9641,5,12,5.47,0.003906
hard_85,9393,9,16,5.67,0.00387
hard_86,9295,7,10,5.19,0.003671
hard_87,9398,7,20,5.43,0.003809
hard_88,9399,22,33,5.19,0.00381
hard_89,9450,7,10,5.42,0.00382
hard_90,9398,4,10,5.59,0.003719
hard_91,9438,18,32,5.19,0.003807
hard_92,9441,16,24,5.19,0.003874
hard_93,9448,15,21,5.50,0.003872
hard_94,9476,6,14,5.19,0.003836
hard_95,9649,5,28,5.19,0.003906
test_01,8829,0,1,5.56,0.003707
test_02,9112,0,1,5.24,0.003416
test_03,9158,0,1,5.58,0.004255
test_04,9038,0,1,5.44,0.003335
test_05,8829,0,1,5.59,0.004081
test_06,9360,3,6,5.19,0.003618
test_07,9247,1,2,5.19,0.003581
test_08,8829,0,1,5.37,0.003354
test_09,9281,0,1,5.51,0.003506
test_10,9254,0,4,5.19,0.003608
test_11,9157,0,1,5.43,0.00373
test_12,8829,0,1,5.19,0.003187
test_13,9000,0,1,5.20,0.00335
test_14,9171,0,1,5.19,0.003421
test_15,8946,0,1,5.36,0.003387
test_16,8829,0,1,5.35,0.003272
test_17,8829,0,1,5.27,0.003178
test_18,9050,0,1,5.19,0.003339
test_19,8829,0,1,5.19,0.003175
test_20,8829,0,1,5.34,0.003811
test_21,9134,0,1,5.36,0.003437
test_22,9033,0,1,5.24,0.004031
test_23,9024,0,1,5.23,0.003386
test_24,9028,0,1,5.34,0.003501
test_25,9269,1,2,5.19,0.003609
test_26,9247,0,1,5.51,0.003498
test_27,9084,0,1,5.19,0.003354
test_28,9061,0,1,5.19,0.003476
test_29,9282,0,1,5.19,0.003502
test_30,9216,0,1,5.19,0.003471
test_31,9235,0,1,5.19,0.003466
test_32,9137,0,1,5.19,0.003733
test_33,9014,0,1,5.29,0.004031
test_34,8829,0,1,5.19,0.003357
test_35,9045,0,1,5.33,0.003397
test_36,8829,0,1,5.19,0.003288
test_37,9022,0,1,5.36,0.003693
test_38,8829,0,1,5.19,0.003191
test_39,9019,0,1,5.19,0.003367
test_40,8829,0,1,5.36,0.003242
test_41,9281,0,1,5.39,0.003534
test_42,9279,1,3,5.26,0.003664
test_43,9259,1,2,5.19,0.003635
test_44,9310,0,1,5.39,0.003562
test_45,9238,0,1,5.42,0.003583
test_46,9298,0,1,5.19,0.003441
test_47,9399,3,6,5.42,0.003673
test_48,9309,0,2,5.29,0.003656
test_49,9448,1,2,5.35,0.0037
test_50,9279,2,6,5.19,0.003573
